Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
6,2777,10556885.620500924,11234336.079956912,84,3,conv_MDG-b_21_n2000_m200.txt,7210.26974,11299894.85774,199.42,193.42
7,7546,10598851.422101963,11246636.49373994,78,6,conv_MDG-b_21_n2000_m200.txt,7260.890318,11299894.85774,199.53,193.8
8,22516,10603940.868793963,11244912.182331901,80,5,conv_MDG-b_21_n2000_m200.txt,7331.013414,11299894.85774,199.51,193.84
9,6723,10588604.994611975,11240223.673165064,82,4,conv_MDG-b_21_n2000_m200.txt,7316.778729,11299894.85774,199.47,193.71
10,13042,10637702.211918943,11246151.673065996,92,5,conv_MDG-b_21_n2000_m200.txt,7260.752324,11299894.85774,199.52,194.14
1,22752,10621767.425653936,11235990.320340896,90,6,conv_MDG-b_22_n2000_m200.txt,7273.668978,11286775.58894,199.55,194.11
2,11206,10598652.174741015,11231855.854347985,78,3,conv_MDG-b_22_n2000_m200.txt,7226.787346,11286775.58894,199.51,193.9
3,4832,10651863.275207004,11240404.824206939,97,2,conv_MDG-b_22_n2000_m200.txt,7258.750455,11286775.58894,199.59,194.37
4,5360,10587123.07132902,11229017.769889059,81,6,conv_MDG-b_22_n2000_m200.txt,7276.064542,11286775.58894,199.49,193.8
5,10976,10623823.912698954,11244252.044907013,79,4,conv_MDG-b_22_n2000_m200.txt,7256.558187,11286775.58894,199.62,194.13
6,10400,10591788.561372964,11234787.110174015,86,6,conv_MDG-b_22_n2000_m200.txt,7298.371345,11286775.58894,199.54,193.84
7,51,10559595.839149,11252497.968244974,81,5,conv_MDG-b_22_n2000_m200.txt,7311.099017,11286775.58894,199.7,193.56
8,11476,10569138.214942008,11246858.398664994,77,3,conv_MDG-b_22_n2000_m200.txt,7277.622513,11286775.58894,199.65,193.64
